,culture,id,age.group,gender,test.date,counterbalancing.order,trial.nr,condition,story,better.job,better.job.reli,better.job.correct,better.job.correct.reli,better.job.why,better.job.why.cat,better.job.why.cat.reli,help.seeking,help.seeking.reli,help.seeking.correct,help.seeking.correct.reli,help.seeking.why,help.seeking.why.cat,help.seeking.why.cat.reli,comments,age,age.group.sum,sub.id
170,china,29,5,female,9/26/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她看到了那个脚印。,process,process,1,NA,correct,NA,因为甜甜看到仓鼠的脚印了。,process,process,NA,5.382614648,4.5,29.china
171,china,29,5,female,9/26/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为他的转盘指向了蓝色的墙后面，小鸟就在蓝色的墙后面。,outcome,outcome,0,NA,wrong,NA,因为他的转盘指向蓝色的墙是对的，小鸟就在蓝色的墙后面躲着呢。,outcome,outcome,NA,5.382614648,4.5,29.china
172,china,29,5,female,9/26/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为这两个椅子都一样，我看不到小猫的踪影，所以我就说红的。红衣服的发现了铃铛。,process,process,1,NA,correct,NA,因为他看见了小猫的铃铛。,process,process,"for the better job question, the female firstly said to herself that ""the two bench are the same, how can I choose?"". Then I repeated the question, and female give me the answer.",5.382614648,4.5,29.china
173,china,29,5,female,9/26/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为她转盘指向了黄色的围栏，小鸭躲在黄色围栏的后面。,outcome,outcome,0,NA,correct,NA,因为玉玉转盘指向了黄色的围栏，小鸭躲在黄色的蔚蓝的恶后面，玉玉用了转盘指向黄色围栏是对的。,outcome,outcome,NA,5.382614648,4.5,29.china
174,china,29,5,female,9/26/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为她用点兵点将指的是粉花丛，小狗就在粉花丛后面。,outcome,outcome,0,NA,wrong,NA,因为妞妞用了点兵点将，不是指的黄花丛，指的是粉花丛，小狗就在粉花丛后面，挡住了一个花。,outcome,outcome,NA,5.382614648,4.5,29.china
175,china,30,5,female,10/6/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为红石头后面有个兔子,outcome,outcome,0,NA,correct,NA,因为他后面有个兔子，他找对了，所以，他可以找到别人的东西,outcome,outcome,NA,5.541409993,4.5,30.china
176,china,30,5,female,10/6/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她旁边有脚印，脚印是这里穿过去的，穿到白色木头后了,process,process,1,NA,correct,NA,因为她看到了脚印，如果有一些线索的花，她就能找对,process,process,NA,5.541409993,4.5,30.china
177,china,30,5,female,10/6/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为这里有一只小鸟，它的羽毛掉这里，它没有管，它飞过来了，跟着其它鸟飞过来了(飞到蓝墙这里了)。,outcome,outcome,0,NA,wrong,NA,因为他找到什么东西了话，他应该可以帮别人找到其它东西,outcome,outcome,NA,5.541409993,4.5,30.china
178,china,30,5,female,10/6/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为有铃铛就会有小猫，因为小猫带着铃铛，铃铛掉在哪就是哪个椅子,process,process,1,NA,correct,NA,有线索就可以找到它,process,process,NA,5.541409993,4.5,30.china
179,china,30,5,female,10/6/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为鸭子在后面,outcome,outcome,0,NA,correct,NA,因为她能这个，就能找到别人的东西,outcome,outcome,NA,5.541409993,4.5,30.china
180,china,30,5,female,10/6/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为这里有脚印，但是它跑过去了，就没有脚印，因为它是跳过去的，不是走过去的，所以，这边就没有脚印。我继续问“为什么没有脚印就是绿衣服的表现的更好呢？” 回答，“因为小狗蹦过来了，跳到这边来了。“,outcome,outcome,0,NA,wrong,NA,因为她能找到这个，一定能帮助别人。,outcome,outcome,NA,5.541409993,4.5,30.china
181,china,31,5,female,10/8/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为兔子在红石头的前面,outcome,outcome,0,NA,correct,NA,因为他说他找到红色石头前面，他猜对了，所以我让子轩帮我找,outcome,outcome,NA,5.883641342,4.5,31.china
182,china,31,5,female,10/8/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她找到了仓鼠的脚印，我觉得就应该能找到仓鼠了,process,process,1,NA,correct,NA,我觉得她能找到脚印，她应该就能找到仓鼠，那我的玩具她也能给我找出来,process,process,NA,5.883641342,4.5,31.china
183,china,31,5,female,10/8/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为他转转盘，转到了蓝色的那个颜色，所以，我选择绿衣服的天宝。,outcome,outcome,1,NA,correct,NA,因为他找到线索了，就应该能给我找到玩具。,process,process,NA,5.883641342,4.5,31.china
184,china,31,5,female,10/8/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为他找到了线索，应该小猫就在里面,process,process,1,NA,correct,NA,因为他找到小猫的铃铛，应该就能找到我的玩具,process,process,NA,5.883641342,4.5,31.china
185,china,31,5,female,10/8/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为她找到了她的小鸭子,outcome,outcome,0,NA,correct,NA,因为她找到了她的小鸭子，应该就能找到我的玩具,outcome,outcome,It took quiet a long time (2 mins and 45 seconds) for the kids to give me the correct answer.,5.883641342,4.5,31.china
186,china,31,5,female,10/8/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为她找到她的小狗了，所以，她表现的更好,outcome,outcome,0,NA,wrong,NA,因为她找到她的小狗了,outcome,outcome,NA,5.883641342,4.5,31.china
187,china,32,5,female,9/13/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,因为他找到了兔子在这边,outcome,outcome,0,0,correct,correct,因为红衣服的聪明，他找到了兔子在这块,outcome,outcome,NA,5.87816564,4.5,32.china
188,china,32,5,female,9/13/20,outcome.only,2,process.only,hamster,0,0,wrong,wrong,因为粉衣服的她拿了转盘，指向了棕色的木头，所以我觉得就是棕色的木头,outcome,outcome,1,1,correct,correct,因为黄衣服的甜甜她发现这里留的脚印 （为什么她发现有脚印你就想让她帮你呀）因为这个很像仓鼠的脚印,process,process,NA,5.87816564,4.5,32.china
189,china,32,5,female,9/13/20,outcome.only,3,outcome.vs.process,bird,1,1,correct,correct,因为黄衣服的他刚才小鸟就在红墙这边，让后它飞到这边了，差一点点黄衣服的就找到小鸟了，因为小鸟刚才飞到这边了，它掉了一根羽毛,process,process,1,1,correct,correct,刚才不是说了吗，差一点点就能成功找到小鸟了,outcome,outcome,NA,5.87816564,4.5,32.china
190,china,32,5,female,9/13/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为铃铛就掉在红椅子旁边，说不定小猫就藏在红椅子底下,process,process,1,1,correct,correct,因为这个小铃铛在红椅子的旁边，小猫应该就是在红椅子的后面了,process,process,NA,5.87816564,4.5,32.china
191,china,32,5,female,9/13/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为小鸭在这边的黄墙上，她的转盘指向了黄色，所以小鸭就是藏在黄色栅栏的后面,outcome,outcome,0,0,correct,correct,因为玉玉找到了小鸭,outcome,outcome,NA,5.87816564,4.5,32.china
192,china,32,5,female,9/13/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为小狗藏在粉花丛的旁边,outcome,outcome,0,NA,wrong,NA,因为小狗在粉花丛后面，绿衣服的妞妞找到了小狗,outcome,outcome,NA,5.87816564,4.5,32.china
193,china,33,6,male,9/20/20,process.only,1,process.only,cat,1,NA,correct,NA,因为乐乐点兵点将，万一藏在红椅子后面呢，万一点错了呢？,process,process,1,NA,correct,NA,因为他会发现点掉落的东西，也许就在掉落的东西附近,process,process,NA,6.825462012,6.7,33.china
194,china,33,6,male,9/20/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她对了小鸭小鸭还真藏在黄栅栏后面,outcome,outcome,0,NA,correct,NA,因为没准她转动转盘的时候，我的玩具没准就丢在她指到的位置,outcome,outcome,NA,6.825462012,6.7,33.china
195,china,33,6,male,9/20/20,process.only,3,outcome.vs.process,dog,1,NA,correct,NA,因为万一那只小狗确实藏在黄花丛后面，它扎进去动不了了，跟着那串脚印走，没准就找对了。,process,process,1,NA,correct,NA,因为加入在一片土上，有那个印记，扎在花丛里，根据那些印记就可以找到。,process,process,NA,6.825462012,6.7,33.china
196,china,33,6,male,9/20/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为子轩点兵点将，虽然是闭着眼睛点的，但是他点对了，兔子就是在红石头后面,outcome,outcome,0,NA,correct,NA,因为他没准闭上眼睛再点兵点将就点对了，藏在哪一大堆石头后面。,outcome,outcome,NA,6.825462012,6.7,33.china
197,china,33,6,male,9/20/20,process.only,5,process.only,hamster,1,NA,correct,NA,因为雨涵转动转盘，万一转盘指错了，转盘又不是用什么神东西指对位置，而是用手，还是要提供一些更关键的细节才能找到。,process,process,1,NA,correct,NA,因为黄衣服的她特别会观察，万一撞在白木头上撞坏了一个轮子，她就能仔细观察发现那个轮子，就能找到了。,process,process,NA,6.825462012,6.7,33.china
198,china,33,6,male,9/20/20,process.only,6,outcome.vs.process,bird,1,NA,correct,NA,因为万一天宝用的转盘指错，了小鸟在红墙后墙的话，哪还需要鸟的羽毛来确定鸟在哪个部分，但是鸟飞起来了，那就不好确定了，反正不知道在哪，还是要找一些东西的细节,process,process,1,NA,correct,NA,因为悠悠会找一些细节，万一撞坏了哪，悠悠会找到一些东西，就可以找到那个玩具了,process,process,NA,6.825462012,6.7,33.china
199,china,34,6,male,10/3/20,process.only,1,process.only,cat,1,NA,correct,NA,因为小猫的铃铛掉在哪个椅子下面，小猫有可能就会藏在这个椅子下面。,process,process,1,NA,correct,NA,因为他不像乐乐这样随便猜。,process,process,"for better job question, the male firstly replied that ""the two are both doing a good job"". Then I forced him to pick one, he pick the correct one.",6.313483915,6.7,34.china
200,china,34,6,male,10/3/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她会找到小鸭子,outcome,outcome,0,NA,correct,NA,因为她找的更准确,outcome,outcome,NA,6.313483915,6.7,34.china
201,china,34,6,male,10/3/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为她能找到小狗.,outcome,outcome,0,NA,wrong,NA,因为在找东西的时候，能找到东西。,outcome,outcome,NA,6.313483915,6.7,34.china
202,china,34,6,male,10/3/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为红衣服的子轩可以找到兔子。,outcome,outcome,0,NA,correct,NA,因为他能帮我找到我的玩具。,outcome,outcome,NA,6.313483915,6.7,34.china
203,china,34,6,male,10/3/20,process.only,5,process.only,hamster,0,NA,wrong,NA,因为她没有用猜的方法，她用的是转盘。,other,outcome,0,NA,wrong,NA,因为她可以用转盘的方法帮我找到玩具。,other,outcome,NA,6.313483915,6.7,34.china
204,china,34,6,male,10/3/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为他能找到小鸟,outcome,outcome,0,NA,wrong,NA,因为他能帮我准确的找到玩具。,outcome,outcome,NA,6.313483915,6.7,34.china
205,china,35,6,male,10/2/20,process.only,1,process.only,cat,1,NA,correct,NA,因为他是根据线索来找的，而点兵点将说不准,process,process,1,NA,correct,NA,他观察到线索,process,process,NA,6.581793292,6.7,35.china
206,china,35,6,male,10/2/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她应该比较幸运，转到了黄色，小鸭确实藏在黄色栅栏后面,outcome,outcome,0,NA,correct,NA,我觉得她运气比较好,outcome,outcome,NA,6.581793292,6.7,35.china
207,china,35,6,male,10/2/20,process.only,3,outcome.vs.process,dog,1,NA,correct,NA,她是根据线索找的,process,process,1,NA,correct,NA,她根据线索找的,process,process,NA,6.581793292,6.7,35.china
208,china,35,6,male,10/2/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为他的运气倒是挺好的恶,outcome,outcome,0,NA,correct,NA,我觉得他的运气比壮壮好。,outcome,outcome,"for the better job question, he firstly replied that ""both the one in red shirt and in blue shirt used the same method, they both don’t' look closely, The one in red shrit chose the correct stone, but he should not guess randomly; if everyone behave like the one in the blue shirt and chose the wrong stone by guessing, we can not find the missing items."" Then I let the male to chose one who he think is a bit better.",6.581793292,6.7,35.china
209,china,35,6,male,10/2/20,process.only,5,process.only,hamster,1,NA,correct,NA,因为她根据线索来找仓鼠,process,process,1,NA,correct,NA,她是根据线索找的。,process,process,NA,6.581793292,6.7,35.china
210,china,35,6,male,10/2/20,process.only,6,outcome.vs.process,bird,1,NA,correct,NA,因为他是根据线索，天宝是闭上眼睛转转盘，跟凭空瞎猜差不多。,process,process,1,NA,correct,NA,他是根据线索找，虽然可能找的不对，但再来一次肯定对。,process,process,NA,6.581793292,6.7,35.china
211,china,36,6,male,10/2/20,process.only,1,process.only,cat,1,1,correct,correct,因为他观察到了一个猫的铃铛，他选了红椅子。然后乐乐的方法是点兵点将，就猜，猜也不一定是对的，得用一些东西。我感觉小九应该是这样想的，这个铃铛摇的时候可以唤来小猫，但是乐乐的方法我是不赞成的，因为乐乐的想法是猜，我感觉猜是不好的，我感觉寻找一些东西才是最好的。,process,process,1,1,correct,correct,因为他能看周围的东西，然后看到一个东西，丢失的人得跟它，小九应该说“这是不是你的另一个东西？”然后，我就说“是的。“ 然后就肯定有另一个东西在这个附近，感觉很快就能找到。,process,process,NA,6.866529774,6.7,36.china
212,china,36,6,male,10/2/20,process.only,2,outcome.only,duck,0,0,correct,correct,因为她指对了，小鸭本来就在黄栅栏后。她俩的答案不一样，她俩都是猜的。,outcome,outcome,0,0,correct,correct,因为玉玉的运气好，找燕子的时候，那些转盘就是靠人的运气。,outcome,outcome,"for the better job question, the male firstly replied that ""I think that they both have a weakness. That is, they  used the same method: play the spinning wheel. For me , the ideal method is that first check the blue fence, if there is no duck there, the duck musat be behind the yellow fence. "" Then I force him to pick one who he think is doing better.",6.866529774,6.7,36.china
213,china,36,6,male,10/2/20,process.only,3,outcome.vs.process,dog,1,1,correct,correct,因为一开始小狗躲在黄花丛里面，找脚印的方法是对的。如果我是小宝，我i肯定按照脚印去找，要是没有的话，我就会想一想，这个小狗可能去另一个花丛，可能是跳过去的，因为没有留下脚印。然后就去粉色花丛找一找，就找到了。,process,process,1,1,correct,correct,因为就和找这只狗一样，她会找身边的东西，或一些痕迹，来找东西。,process,process,NA,6.866529774,6.7,36.china
214,china,36,6,male,10/2/20,process.only,4,outcome.only,bunny,0,0,correct,correct,因为子轩先找到的兔子,outcome,outcome,0,0,correct,correct,因为这一次找兔子，子轩找到了，我感觉子轩的运气更好一些。,outcome,outcome,"fort the better job question, the male firstly chose the ""correct"" target, and immedieately he said that ""actually I think both of them are doing a better job since they used the same method of guessing. It does not matter who win the game. The one who find the bunny first can play with the bunny first, and the other male can just wait to play"". For the help seeking question, the male firstly replied that ""I think either of them can help me."" When I let him to pick one, he picker the correct one.",6.866529774,6.7,36.china
215,china,36,6,male,10/2/20,process.only,5,process.only,hamster,1,1,correct,correct,因为甜甜用的是寻找她旁边的脚印，或者是仓鼠的痕迹来寻找仓鼠，这样很快就能找到仓鼠。粉衣服的雨涵用的是猜的方法，但是猜不一定能猜对。,process,process,1,1,correct,correct,因为甜甜会动脑筋，可以寻找周围的一些痕迹，雨涵只会用猜的方法，我感觉猜的方法也不一定可以。,process,process,NA,6.866529774,6.7,36.china
216,china,36,6,male,10/2/20,process.only,6,outcome.vs.process,bird,1,1,correct,correct,因为悠悠跟上一个故事的甜甜的方法是一样的，寻找小鸟的痕迹。绿衣服的天宝就跟上一个故事的雨涵一样，用的转盘来猜，准确率不是很高。,process,process,1,1,correct,correct,因为悠悠跟上一个故事的甜甜是一样的，会找痕迹。,process,process,NA,6.866529774,6.7,36.china
217,china,37,6,male,8/16/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为兔子就藏在红石头的后面,outcome,outcome,0,NA,correct,NA,因为他找兔子的这件事对的花，他下次找玩具也会做的一样好,outcome,outcome,"for the better.job question, the kid firstly answered that ""the two targets did well similarly""",6.967830253,6.7,37.china
218,china,37,6,male,8/16/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她找到脚印，这样会更比较现实,process,process,1,NA,correct,NA,因为黄衣服的找东西会更靠谱，她找仓鼠的时候找脚印，这样会比较现实一点。,process,process,NA,6.967830253,6.7,37.china
219,china,37,6,male,8/16/20,outcome.only,3,outcome.vs.process,bird,1,NA,correct,NA,因为壮壮通过找鸟的羽毛，虽然鸟现在不在红墙后面，但是，还是找羽毛更加现实一点。使用转盘会更容易出错,process,process,1,NA,correct,NA,因为壮壮通过自己的办法，通过找物体留下的东西,process,process,NA,6.967830253,6.7,37.china
220,china,37,6,male,8/16/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为点兵点将和转转盘都更容易错，小九用的方法一半都不会错,process,process,1,NA,correct,NA,因为一般都不会错的方法更加有效,process,process,NA,6.967830253,6.7,37.china
221,china,37,6,male,8/16/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为鸭子就藏在黄栅栏后面,outcome,outcome,0,NA,correct,NA,因为刚才我选了红衣服，现在还接着选红衣服，她下次应该也是对的。,outcome,outcome,"for the better job question the kid firstly answered that ""i don’t know, since the two spinning wheels are both likely go wrong, they can give the same answer""。 As to the why question for the helping seek, the kid firstly answered that ""since I choose XX for the better job question, I continue to choose XX."" When I asked why you continue the same choice, he replied that ""i don't know"". When I aksed again the reason, he told me that XX might be right again.",6.967830253,6.7,37.china
222,china,37,6,male,8/16/20,outcome.only,6,outcome.vs.process,dog,1,NA,correct,NA,因为脚印在黄花丛后面，脚印就是狗的脚印,process,process,1,NA,correct,NA,因为黄衣服的通过物体留下的痕迹来找。,process,process,NA,6.967830253,6.7,37.china
223,china,38,6,male,10/2/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,不知道,i don't know,i don't know,0,0,correct,correct,因为他一次性找到了兔子。,outcome,outcome,"for the help-seeking question, the male first replied that ""either of them can help me to look for my toy"" I then encouraged him to choose one.",6.387405886,6.7,38.china
224,china,38,6,male,10/2/20,outcome.only,2,process.only,hamster,1,1,correct,correct,因为她的方向率很对，但是，不在白木头后面。,process,outcome,1,1,correct,correct,还是因为她的方向率正确。,process,outcome,NA,6.387405886,6.7,38.china
225,china,38,6,male,10/2/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为不能光看里面的信息，要看正确率。,outcome,outcome,0,0,wrong,wrong,因为不能光看信息，还要看正确率。,outcome,outcome,"for the better job question, the male firstly replied that ""the two behave similarly."" I then encouraged him to choose one, he chose the wrong one.",6.387405886,6.7,38.china
226,china,38,6,male,10/2/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为他看到铃铛了，猫有可能跑那边。,process,process,0,0,wrong,wrong,因为虽然他这次表现不怎么出色，但下次就出色了。,other,other,NA,6.387405886,6.7,38.china
227,china,38,6,male,10/2/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为红的这边有鸭子，蓝的那边没有。,outcome,outcome,0,0,correct,correct,因为鸭子在这边呀。,outcome,outcome,"for the help-seeking question, the male  firstly replied that ""einther of them can help me. "" I then encouraged him to choose one and he repeated a few times that ""either is ok"". And fiNAly, after I encourged him a few times, he choose the correct one.",6.387405886,6.7,38.china
228,china,38,6,male,10/2/20,outcome.only,6,outcome.vs.process,dog,0,0,wrong,wrong,因为假的信息不能看。,outcome,other,1,1,correct,correct,因为玩具又不会跑。,process,other,NA,6.387405886,6.7,38.china
229,china,39,6,male,3/10/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,因为兔子不是就藏在红石头后面吗，我都看见了。,outcome,outcome,0,0,correct,correct,因为这次他们俩的兔子丢了，就藏在红石头后面，他找对了，不是很聪明吗？,outcome,outcome,"for the question that ""how fun was the game?"", the male choose ""not that fun"". He told me that the NAe of one of the targets is his little brother's NAe, and this target lose. So he is not happy.",6.173853525,6.7,39.china
230,china,39,6,male,3/10/20,outcome.only,2,process.only,hamster,1,1,correct,correct,因为脚印可以证明仓鼠从他们俩中间跑向白色木头，而且仓鼠就是白色，这样可以完全被盖住，不被发现。,process,process,1,1,correct,correct,因为他这一次找对，说明他很聪明。因为他发现脚印指向白木头，所以他找对了。,outcome,outcome,NA,6.173853525,6.7,39.china
231,china,39,6,male,3/10/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为羽毛并不能证明，鸟飞到蓝墙后面，蓝墙后面也没有羽毛呀，它飞到红墙那，估计掉了羽毛，让她们以为自己在红墙，然后又飞到蓝墙。,outcome,outcome,0,0,wrong,wrong,因为它这一次找对了，红墙后面没有鸟，就一根羽毛，所以鸟其实在蓝墙后面，这次他找对了。,outcome,outcome,NA,6.173853525,6.7,39.china
232,china,39,6,male,3/10/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为在红椅子后面，椅子完全可以挡住小猫，而且椅子腿是一个滑梯形， 小猫可以坐在滑梯上，完全挡住小九的视线，让他看不见小猫。我再次问，为什么你觉得小九表现得更好。回答说：因为猫能躲在椅子后面，小九也看不见的地方，而这个地方我们也看不见，所以，我觉得猫应该在红椅子后面。,outcome,outcome,1,1,correct,correct,"因为他找对了,因为他觉得小猫在红椅子后面。",outcome,outcome,NA,6.173853525,6.7,39.china
233,china,39,6,male,3/10/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为她找对了，鹅藏在黄栅栏后面。,outcome,outcome,0,0,correct,correct,因为她找对了，鹅就藏在黄栅栏后面，我都看见了。,outcome,outcome,NA,6.173853525,6.7,39.china
234,china,39,6,male,3/10/20,outcome.only,6,outcome.vs.process,dog,0,0,wrong,wrong,因为她找对了，虽然小狗留下的脚印指向黄颜色的花，但是它完全可以从黄花丛这跳到粉花丛这，在跳的过程中，他没有留下脚印。,outcome,outcome,0,0,wrong,wrong,因为她找对了。,outcome,outcome,NA,6.173853525,6.7,39.china
235,china,40,6,male,10/4/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,因为他选对了,outcome,outcome,0,0,correct,correct,红衣服的他很厉害，他找东西都会用点兵点将的,other,other,NA,6.099931554,6.7,40.china
236,china,40,6,male,10/4/20,outcome.only,2,process.only,hamster,1,1,correct,correct,因为她会寻找脚印,process,process,1,1,correct,correct,因为她找东西很细致,process,process,NA,6.099931554,6.7,40.china
237,china,40,6,male,10/4/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为有一个地方有羽毛，鸟不在那里，鸟又飞起来飞走了，然后用转盘寻找鸟,outcome,outcome,0,0,wrong,wrong,因为他会使用转盘，一旦没有转盘，他会使用别的办法,other,other,NA,6.099931554,6.7,40.china
238,china,40,6,male,10/4/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为他会发现东西的踪迹,process,process,1,1,correct,correct,因为他会发现物体留下的东西,process,process,NA,6.099931554,6.7,40.china
239,china,40,6,male,10/4/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,不知道,i don't know,i don't know,0,0,correct,correct,因为她找东西会寻找一些物体，没有物体会使用转盘。我问”紫衣服的美亭不是也用转盘了吗？” 回答说：紫衣服的美亭确定的是错误的。,outcome,outcome,NA,6.099931554,6.7,40.china
240,china,40,6,male,10/4/20,outcome.only,6,outcome.vs.process,dog,0,0,wrong,wrong,她虽然没有看到脚印，但是她可以用点兵点将确定小狗在哪里,outcome,outcome,1,1,correct,correct,因为她会发现一些脚印，或者踪迹。,process,process,NA,6.099931554,6.7,40.china
241,china,41,6,female,8/22/20,process.only,1,process.only,cat,1,1,correct,correct,"因为他比较会破案,他能找到线索",process,process,1,1,correct,NA,因为他会问我一些问题，你前几天怎么玩的呀，然后根据这些线索帮我找到,process,process,NA,6.751540041,6.7,41.china
242,china,41,6,female,8/22/20,process.only,2,outcome.only,duck,0,0,correct,correct,因为她这一次对了,outcome,outcome,0,0,correct,NA,因为她可能会帮我找到,outcome,outcome,NA,6.751540041,6.7,41.china
243,china,41,6,female,8/22/20,process.only,3,outcome.vs.process,dog,0,0,wrong,wrong,因为她找到了狗,outcome,outcome,1,1,correct,NA,有可能她能帮我找到，因为她可能会问我一些问题，然后帮我找到,process,process,NA,6.751540041,6.7,41.china
244,china,41,6,female,8/22/20,process.only,4,outcome.only,bunny,0,0,correct,correct,因为他找到了，虽然用点兵点将，找到的概率比较小，但能找到已经不错了,outcome,outcome,0,0,correct,NA,因为有可能他蒙对兔子在哪里，他有可能也能蒙对我的玩具在哪,outcome,outcome,NA,6.751540041,6.7,41.china
245,china,41,6,female,8/22/20,process.only,5,process.only,hamster,1,1,correct,correct,因为她根据脚印找，如果继续追寻脚印，有可能会找到,process,process,1,1,correct,NA,因为她可能会问我一些问题，然后根据问题找到,process,process,NA,6.751540041,6.7,41.china
246,china,41,6,female,8/22/20,process.only,6,outcome.vs.process,bird,0,0,wrong,wrong,"因为他蒙对了,蒙对也挺难的",outcome,outcome,1,1,correct,NA,因为他可能会问我一些关于玩具的问题。玩具又不像鸟一样会飞。那个转转盘的可能会帮我弄错。,process,process,NA,6.751540041,6.7,41.china
247,china,42,6,female,9/20/20,process.only,1,process.only,cat,1,NA,correct,NA,因为他看到椅子旁边掉铃铛了,process,process,0,NA,wrong,NA,"因为他的衣服好看,他衣服青绿色，我正好喜欢绿色",other,other,NA,6.275154004,6.7,42.china
248,china,42,6,female,9/20/20,process.only,2,outcome.only,duck,0,NA,correct,NA,我觉得她知道鸭子在那边,outcome,outcome,0,NA,correct,NA,玉玉头发长,other,other,"for the better job question, she first replied that ""I can't distinguish"", I asked who is a bit better? She replied ""I have alread said that I can't distinguish, why do you aksed again"" 我都说了分不清了，你怎么还问呀",6.275154004,6.7,42.china
249,china,42,6,female,9/20/20,process.only,3,outcome.vs.process,dog,1,NA,correct,NA,因为她按照脚印去认为,process,process,0,NA,wrong,NA,因为她选的花丛是粉色，漂亮,other,other,NA,6.275154004,6.7,42.china
250,china,42,6,female,9/20/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为我好像看到兔子耳朵就要露出来了,outcome,outcome,1,NA,wrong,NA,因为他选的石头是灰色的，因为灰石头里面有一块最浅的石头，我喜欢浅灰色,other,other,"for the better job question, she first replied that ""I can't distinguish again"" twice",6.275154004,6.7,42.china
251,china,42,6,female,9/20/20,process.only,5,process.only,hamster,0,NA,wrong,NA,因为用转盘了，因为转盘有时也是一种工具,other,other,1,NA,correct,NA,因为她按照脚印，脚印像猴子脚印一样,process,process,NA,6.275154004,6.7,42.china
252,china,42,6,female,9/20/20,process.only,6,outcome.vs.process,bird,1,NA,correct,NA,因为他看见掉落了根羽毛，因为这样有时能迅速找到小鸟,process,process,0,NA,wrong,NA,因为这两个墙盖的都有细缝，他俩本应该可以从细缝看的。他拿了个转盘，而悠悠啥都没拿，拿转盘更厉害点,other,other,NA,6.275154004,6.7,42.china
253,china,43,6,female,9/26/20,process.only,1,process.only,cat,1,NA,correct,NA,因为小九他仔细的观察了，铃铛在红椅子旁。,process,process,1,NA,correct,NA,因为他找东西会认真一些。,other,other,NA,6.395619439,6.7,43.china
254,china,43,6,female,9/26/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她的转盘指向了黄色，所以，我觉得她表现得更好。,outcome,outcome,0,NA,correct,NA,因为我觉得玉玉找东西认真一些。,other,other,NA,6.395619439,6.7,43.china
255,china,43,6,female,9/26/20,process.only,3,outcome.vs.process,dog,1,NA,correct,NA,因为黄衣服得小宝看见了地上的脚印。,process,process,1,NA,correct,NA,因为他能看见地上的脚印。,process,process,NA,6.395619439,6.7,43.china
256,china,43,6,female,9/26/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为他能确定兔子在哪。,outcome,outcome,0,NA,correct,NA,因为他找东西的时候很认真。,other,other,NA,6.395619439,6.7,43.china
